,artist,song title
0,Zach Bryan Featuring Kacey Musgraves,I Remember Everything
1,Luke Combs,Fast Car
2,Doja Cat,Paint The Town Red
3,Morgan Wallen,Last Night
4,Taylor Swift,Cruel Summer
5,Oliver Anthony Music,Rich Men North Of Richmond
6,SZA,Snooze
7,Miley Cyrus,Used To Be Young
8,Dua Lipa,Dance The Night
9,Gunna,Fukumean
10,Rema & Selena Gomez,Calm Down
11,Olivia Rodrigo,Vampire
12,Nicki Minaj & Ice Spice With Aqua,Barbie World
13,Zach Bryan Featuring The War And Treaty,Hey Driver
14,Miley Cyrus,Flowers
15,Lil Durk Featuring J. Cole,All My Life
16,Zach Bryan Featuring The Lumineers,Spotless
17,Zach Bryan,East Side Of Sorrow
18,Selena Gomez,Single Soon
19,Zach Bryan,Tourniquet
20,Bailey Zimmerman,Religiously
21,Zach Bryan,Overtime
22,Zach Bryan,Summertime's Close
23,Zach Bryan,Fear And Friday's
24,Taylor Swift Featuring Ice Spice,Karma
25,Jelly Roll,Need A Favor
26,SZA,Kill Bill
27,Jung Kook Featuring Latto,Seven
28,Zach Bryan,Ticking
29,Billie Eilish,What Was I Made For?
30,Zach Bryan,El Dorado
31,Taylor Swift,Anti-Hero
32,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
33,Morgan Wallen,Thinkin' Bout Me
34,Olivia Rodrigo,Bad Idea Right?
35,Travis Scott Featuring Drake,Meltdown
36,Zach Bryan Featuring Sierra Ferrell,Holy Roller
37,Zach Bryan,Smaller Acts
38,Zach Bryan,Fear And Friday's (Poem)
39,Luke Combs,Love You Anyway
40,Zach Bryan,Jake's Piano - Long Island
41,Noah Kahan With Post Malone,Dial Drunk
42,Karol G & Peso Pluma,Qlona
43,Zach Bryan,Tradesman
44,Jason Aldean,Try That In A Small Town
45,Lainey Wilson,Watermelon Moonshine
46,Zach Bryan,Oklahoman Son
47,Fifty Fifty,Cupid
48,Travis Scott,I Know ?
49,Karol G,Mi Ex Tenia Razon
50,Kane Brown,Bury Me In Georgia
51,David Kushner,Daylight
52,Doechii Featuring Kodak Black,What It Is (Block Boy)
53,Myke Towers,LaLa
54,Travis Scott Featuring SZA & Future,Telekinesis
55,"Peso Pluma, Gabito Ballesteros & Junior H",Lady Gaga
56,Grupo Frontera X Bad Bunny,Un x100to
57,Travis Scott Featuring Playboi Carti,FE!N
58,Young Nudy Featuring 21 Savage,Peaches & Eggplants
59,Latto Featuring Cardi B,Put It On Da Floor Again
60,Post Malone,Chemical
61,Tim McGraw,Standing Room Only
62,Chris Stapleton,White Horse
63,Ice Spice,Deli
64,"Usher, Summer Walker & 21 Savage",Good Good
65,Bad Bunny,Where She Goes
66,"Travis Scott, Bad Bunny & The Weeknd",K-POP
67,HARDY,Truck Bed
68,Ice Spice & Nicki Minaj,Princess Diana
69,Peso Pluma & Grupo Frontera,Tulum
70,"The Weeknd, Playboi Carti & Madonna",Popular
71,Jon Pardi,Your Heart Or Mine
72,Morgan Wallen,Everything I Love
73,Fuerza Regida,Sabor Fresa
74,"That Mexican OT, Paul Wall & DRODi",Johnny Dang
75,Zach Bryan Featuring Maggie Rogers,Dawns
76,Thomas Rhett,Angels Don't Always Have Wings
77,DaBaby,Shake Sumn
78,Kaliii,Area Codes
79,Burna Boy,Sittin' On Top Of The World
80,Young Thug Featuring Drake,Oh U Went
81,Teddy Swims,Lose Control
82,Tyler Childers,In Your Love
83,Jelly Roll With Lainey Wilson,Save Me
84,Rod Wave,Call Your Friends
85,Karol G,S91
86,"Tyler, The Creator Featuring Kali Uchis",See You Again
87,Zach Bryan,Oklahoma Smoke Show
88,Miley Cyrus,Jaded
89,Karol G,Amargura
90,Fuerza Regida,TQM
91,Warren Zeiders,Pretty Little Poison
92,Lil Durk Featuring Morgan Wallen,Stand By Me
93,Gucci Mane Featuring J. Cole & Mike WiLL Made-It,There I Go
94,NewJeans,Super Shy
95,Chris Brown,Summer Too Hot
96,Carin Leon,Primera Cita
97,Victoria Monet,On My Mama
98,Parmalee,Girl In Mine
99,Peso Pluma,Rubicon
