danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,track_name
0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,spotify:track:31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4,BENNETT,Vois sur ton chemin - Techno Mix
0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4,Kenya Grace,Strangers
0.767,0.539,4,-8.518,0,0.0629,0.364,0.0397,0.0772,0.368,128.055,audio_features,5YWu6dt50Nieq8qi572RF8,spotify:track:5YWu6dt50Nieq8qi572RF8,https://api.spotify.com/v1/tracks/5YWu6dt50Nieq8qi572RF8,https://api.spotify.com/v1/audio-analysis/5YWu6dt50Nieq8qi572RF8,131524,4,SIRA,9 bis 9
0.914,0.489,9,-7.722,1,0.0858,0.12,0.0,0.0852,0.559,108.072,audio_features,3an1JVi8OsE0aG6dMS4Pes,spotify:track:3an1JVi8OsE0aG6dMS4Pes,https://api.spotify.com/v1/tracks/3an1JVi8OsE0aG6dMS4Pes,https://api.spotify.com/v1/audio-analysis/3an1JVi8OsE0aG6dMS4Pes,136360,4,AYLIVA,Hässlich
0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4,cassö,Prada
0.743,0.606,1,-8.774,0,0.161,0.0861,0.0,0.0913,0.292,93.123,audio_features,2LCoh1sop5AYzRBVDHFoiK,spotify:track:2LCoh1sop5AYzRBVDHFoiK,https://api.spotify.com/v1/tracks/2LCoh1sop5AYzRBVDHFoiK,https://api.spotify.com/v1/audio-analysis/2LCoh1sop5AYzRBVDHFoiK,146368,4,badmómzjay,Airplanes
0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4,Doja Cat,Paint The Town Red
0.756,0.647,6,-5.488,0,0.159,0.279,4.69e-06,0.102,0.464,134.995,audio_features,0gMTEHzNIyvxikxyUFFJxO,spotify:track:0gMTEHzNIyvxikxyUFFJxO,https://api.spotify.com/v1/tracks/0gMTEHzNIyvxikxyUFFJxO,https://api.spotify.com/v1/audio-analysis/0gMTEHzNIyvxikxyUFFJxO,195466,4,Kontra K,Summertime
0.715,0.845,6,-4.183,1,0.137,0.0272,0.000709,0.21,0.647,170.028,audio_features,4kcgrgZhd4h8chSAJ86mIq,spotify:track:4kcgrgZhd4h8chSAJ86mIq,https://api.spotify.com/v1/tracks/4kcgrgZhd4h8chSAJ86mIq,https://api.spotify.com/v1/audio-analysis/4kcgrgZhd4h8chSAJ86mIq,137647,4,erobé,EWIGKEIT - REMIX
0.691,0.738,8,-6.029,1,0.161,0.245,0.0,0.258,0.625,154.88,audio_features,6ar9dvz5WuFLAyDGsZKLZx,spotify:track:6ar9dvz5WuFLAyDGsZKLZx,https://api.spotify.com/v1/tracks/6ar9dvz5WuFLAyDGsZKLZx,https://api.spotify.com/v1/audio-analysis/6ar9dvz5WuFLAyDGsZKLZx,188520,4,FiNCH,LiEBE AUF DER RÜCKBANK
