artist,song_title
"Blueface,Jaidyn Alexis",Post Opp
Cam’Ron,Go & Get It
Busta Rhymes,Luxury Life
Dababy,Peaches & Eggplants (Freestyle)
Young Nudy,Peaches & Eggplants [Remix]
Dababy,Deli Freestyle
Joyner Lucas,Seventeen
Bryson Tiller,Down Like That
Kid Cudi,Ill What I Bleed/Most Ain'T Dennis
Cardi B,Bongos
Glorilla,Wrong One
Killer Mike,Maynard Vignette
Icewear Vezzo,Perfect
Ransom,Scape Goats
Sampha,Only
Tee Grizzley,Idgaf
A.R. The Mermaid,Watt We Doingg
Lil Wayne,Kat Food
Nle Choppa,College Girls
Flyana Boss,You Wish (With Missy Elliott & Kaliii) - Remix
